"","codigoOC","FechaEnvioOC","NombreOC","DescripcionOC","EstadoOC","ProcedenciaOC","MonedaOC","MontoNetoOC","DescuentosOC","CargosOC","ImpuestosOC","MontoTotalOC","ImpuestosOC_CLP","MontoNetoOC_CLP","MetodoPago","TipoDespacho","Financiamiento","UnidadCompra","UnidadCompraRUT","RegionUnidadCompra","entCode","Institucion","Sector","Proveedor","ProveedorRUT","ActividadProveedor","TamanoProveedor","RegionProveedor","RubroN1","RubroN2","RubroN3","CodigoProductoONU","ONUProducto","NombreItem","DescripcionItem","CantidadItem","UnidadMedida","MonedaItem","MontoNetoItem","DescuentoItem","CargosItem","ImpuestoEspecificoItem","MontoTotalItem","MontoNetoItemCLP","CodigoCotizacion","NombreCotizacion","DescripcionCotizacion","FechaPublicacionCotizacion","FechaCierreCotizacion","MontoDisponible","DescripcionProducto","CodigoProductoCotizadoONU","ProductoCotizado","CantidadSolicitada","ProveedorCotizacion","RUTProveedorCotizacion","DetalleCotizacion","PrecioUnitarioCotizacion","PrecioTotalItemCotizacion","MontoNetoCotizacion","MontoDespachoCotizacion","MontoTotalCotizacion","ProveedorSeleccionado"
"1","1057402-6900-AG24","09-07-2024 0:00:00","(MIS)ESCRITORIO/INSUMOS VARIOS/P. JULIO","1057402-989-COT24  INSUMOS VARIOS REQUERIDOS POR UHCIP, UPC Y PREVENCION RIESGO. UHCIP: CARTONEROS, REPUESTOS CART., CINTA DOBLE CONT, PISTOLA SILICONA. LAPIZ COLORES, REGLA METALICA. PREVENCION: 200 LAMINAS TERMOLAMINAR CARTA UPC: 100 LAMINAS TERMOLAMINAR OFICIO","Recepcion Conforme","Compra Agil","CLP",381170,0,0,72422.3,453592.3,579378.4,381170,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","JOSE HERMINIO BARRIENTOS BARRIENTOS","7.560.370-3","VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| COMERCIO DE ARTICULOS DE SUMINISTROS DE OFICINAS Y ARTICULOS DE ESCRIT| ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.","4.0","Región de Magallanes y de la Antártica","Equipamiento para laboratorios","Instrumentos de medida y experimentación","Instrumentos para medición de longitud",41111604,"Reglas","Reglas","REGLA METALICA 60 CM",1,"Unidad","CLP",1310,0,0,NA,1310,1310,"1057402-989-COT24","(MIS) ARTICULOS DE ESCRITORIO VARIOS","ARTICULOS DE ESCRITORIO VARIOS DESCRITOS EN CADA LÍNEA ** PLAZO ENTREGA 1 DÍAS PUESTO EN EL HOSPITAL **VALOR ESTIMADO INCLUYE FLETE E IVA ** ADJUNTAR COTIZACION CON CARACTERISTICA TECNICA DE CADA PRODUCTO.","28-06-2024 0:00:00","01-07-2024 0:00:00",650000,"REGLA METALICA 60 CM",41111604,"Reglas",1,"JOSE HERMINIO BARRIENTOS BARRIENTOS","7.560.370-3","SE ADJUNTA COTIZACIÓN DETALLADA DE TODO LO SOLICITADO. ENTREGA EN 1 DÍA. CONSULTAS AL 991221982",1310,1310,448962,0,534264,"SI"
"2","1057402-7056-AG24","09-07-2024 0:00:00","GASTRO/JULIO/SONDA COAG. PLASMA (INS)","1057402-948-COT24 FLETE AÉREO CARGO PROVEEDOR PEDIDO GASTRO, JULIO, SONDA COAGULACION POR PLASMA DE ARGON 230","Recepcion Conforme","Compra Agil","CLP",1635000,0,0,310650,1945650,310650,1635000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","DOLPHIN MEDICAL SPA","77.783.690-0","VENTA AL POR MAYOR NO ESPECIALIZADA VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS N.C. OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS N.C.P.","1.0","Región Metropolitana de Santiago","Equipamiento para laboratorios","Instrumentos de medida y experimentación","Analizadores, accesorios y suministros clínicos y de diagnósticos",41115810,"Accesorios o suministros de analizadores de coagulación","Accesorios o suministros de analizadores de coagulación","222-0540	SONDA COAGULACION POR PLASMA DE ARGON 230",5,"Unidad","CLP",327000,0,0,NA,1635000,1635000,"1057402-948-COT24","SONDA COAGULACION POR PLASMA DE ARGON 230","SONDA PARA COAGULACION CON PLASMA DE ARGON. LARGO 2,2MT.DIÁMETRO 2,3MM. SALIDA LATERAL AXIAL O CIRCUNFERENCIAL. DEBE SER COMPATIBLE CON ELECTROBISTURI EXCELL NHP Y ELECTROBISTURI EMED ES350 SE REQUIERE ADJUNTAR FICHA TECNICA","18-06-2024 0:00:00","19-06-2024 0:00:00",1950000,"SONDA COAGULACION POR PLASMA DE ARGON 230",41115810,"Accesorios o suministros de analizadores de coagulación",5,"DOLPHIN MEDICAL SPA","77.783.690-0","1057402-948-COT24 Hosp_Magallanes_Sonda_Argon_30064",327000,1635000,1635000,0,1945650,"SI"
"3","1057402-7135-AG24","18-07-2024 0:00:00","(5074) Adquisición de cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Compra ágil: 1057402-1009-COT24","COMPRA ÁGIL, Según I.T. 275, de 01-07-2024, del Dpto. de Equipos Médicos, por la adquisición de  Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs, para UTI 5to piso.  Orden de Compra código: 1057402-7135-AG24 dirigida a FRANKFERT SPA  Encargado Técnico: Jefe Dpto. Equipos Médicos: fono: 612293018 - correo: dagoberto.hernandez@redsalud.gob.cl  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo: alex.garay@redsalud.gob.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE: fono: 612453660 - correo: frank.silva@redsalud.gob.cl  Encargado de Compra: Jefe Unidad de Compra Operaciones: fono 612293243 - correo: francisco.aguilar@redsalud.gob.cl","Recepcion Conforme","Compra Agil","CLP",1272000,0,0,241680,1513680,725040,1272000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","FRANKFERT SPA","76.865.249-k","comercio al por menor no realizado en almacenes","4.0","Región Metropolitana de Santiago","Equipamiento para laboratorios","Instrumentos de medida y experimentación","Suministros y equipos para tratamiento de enfermos",41116203,"Accesorios de monitores o medidores","Accesorios de monitores o medidores","CABLE ECG COMPLETO PARA MONITORES MULTIPARÁMETROS SPACELABS",12,"Unidad","CLP",42000,0,0,NA,504000,504000,"1057402-1009-COT24","(5074) Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs.","El Hospital requiere comprar cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Se adjuntan imagenes de referencia.   Nota: SE REQUIERE CON ENTREGA INMEDIATA.        FLETE A CARGO DEL PROVEEDOR HASTA EL DOMICILIO DEL HOSPITAL.  Los oferentes deberán adjuntar ficha técnica y/o imagen de los cables troncal SPO2, indicar plazos de entrega.  Adjuntar datos contacto y datos bancarios para pago en formulario adjunto.","03-07-2024 0:00:00","05-07-2024 0:00:00",1600000,"SENSOR SPO2 REUTILIZABLE PARA MONITORES SPACELABS",41116203,"Accesorios de monitores o medidores",12,"FRANKFERT SPA","76.865.249-k","STOCK DISPONIBLE PARA ENVIO INMEDIATO, VIA COURIER.",31000,372000,1272000,0,1513680,"SI"
"4","1057402-7135-AG24","18-07-2024 0:00:00","(5074) Adquisición de cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Compra ágil: 1057402-1009-COT24","COMPRA ÁGIL, Según I.T. 275, de 01-07-2024, del Dpto. de Equipos Médicos, por la adquisición de  Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs, para UTI 5to piso.  Orden de Compra código: 1057402-7135-AG24 dirigida a FRANKFERT SPA  Encargado Técnico: Jefe Dpto. Equipos Médicos: fono: 612293018 - correo: dagoberto.hernandez@redsalud.gob.cl  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo: alex.garay@redsalud.gob.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE: fono: 612453660 - correo: frank.silva@redsalud.gob.cl  Encargado de Compra: Jefe Unidad de Compra Operaciones: fono 612293243 - correo: francisco.aguilar@redsalud.gob.cl","Recepcion Conforme","Compra Agil","CLP",1272000,0,0,241680,1513680,725040,1272000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","FRANKFERT SPA","76.865.249-k","comercio al por menor no realizado en almacenes","4.0","Región Metropolitana de Santiago","Equipamiento para laboratorios","Instrumentos de medida y experimentación","Suministros y equipos para tratamiento de enfermos",41116203,"Accesorios de monitores o medidores","Accesorios de monitores o medidores","CABLE 3 DERIVACIONES PARA MONITORES SPACELABS",12,"Unidad","CLP",33000,0,0,NA,396000,396000,"1057402-1009-COT24","(5074) Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs.","El Hospital requiere comprar cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Se adjuntan imagenes de referencia.   Nota: SE REQUIERE CON ENTREGA INMEDIATA.        FLETE A CARGO DEL PROVEEDOR HASTA EL DOMICILIO DEL HOSPITAL.  Los oferentes deberán adjuntar ficha técnica y/o imagen de los cables troncal SPO2, indicar plazos de entrega.  Adjuntar datos contacto y datos bancarios para pago en formulario adjunto.","03-07-2024 0:00:00","05-07-2024 0:00:00",1600000,"CABLE ECG COMPLETO PARA MONITORES MULTIPARÁMETROS SPACELABS",41116203,"Accesorios de monitores o medidores",12,"FRANKFERT SPA","76.865.249-k","STOCK DISPONIBLE PARA ENVIO INMEDIATO, VIA COURIER.",42000,504000,1272000,0,1513680,"SI"
"5","1057402-7135-AG24","18-07-2024 0:00:00","(5074) Adquisición de cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Compra ágil: 1057402-1009-COT24","COMPRA ÁGIL, Según I.T. 275, de 01-07-2024, del Dpto. de Equipos Médicos, por la adquisición de  Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs, para UTI 5to piso.  Orden de Compra código: 1057402-7135-AG24 dirigida a FRANKFERT SPA  Encargado Técnico: Jefe Dpto. Equipos Médicos: fono: 612293018 - correo: dagoberto.hernandez@redsalud.gob.cl  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo: alex.garay@redsalud.gob.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE: fono: 612453660 - correo: frank.silva@redsalud.gob.cl  Encargado de Compra: Jefe Unidad de Compra Operaciones: fono 612293243 - correo: francisco.aguilar@redsalud.gob.cl","Recepcion Conforme","Compra Agil","CLP",1272000,0,0,241680,1513680,725040,1272000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","FRANKFERT SPA","76.865.249-k","comercio al por menor no realizado en almacenes","4.0","Región Metropolitana de Santiago","Equipamiento para laboratorios","Instrumentos de medida y experimentación","Suministros y equipos para tratamiento de enfermos",41116203,"Accesorios de monitores o medidores","Accesorios de monitores o medidores","SENSOR SPO2 REUTILIZABLE PARA MONITORES SPACELABS",12,"Unidad","CLP",31000,0,0,NA,372000,372000,"1057402-1009-COT24","(5074) Cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs.","El Hospital requiere comprar cables ECG completo, cables 3 derivaciones y sensores SPO2 Reutilizable para monitores multiparámetros Spacelabs. Se adjuntan imagenes de referencia.   Nota: SE REQUIERE CON ENTREGA INMEDIATA.        FLETE A CARGO DEL PROVEEDOR HASTA EL DOMICILIO DEL HOSPITAL.  Los oferentes deberán adjuntar ficha técnica y/o imagen de los cables troncal SPO2, indicar plazos de entrega.  Adjuntar datos contacto y datos bancarios para pago en formulario adjunto.","03-07-2024 0:00:00","05-07-2024 0:00:00",1600000,"CABLE 3 DERIVACIONES PARA MONITORES SPACELABS",41116203,"Accesorios de monitores o medidores",12,"FRANKFERT SPA","76.865.249-k","STOCK DISPONIBLE PARA ENVIO INMEDIATO, VIA COURIER.",33000,396000,1272000,0,1513680,"SI"
"6","1057402-7266-AG24","18-07-2024 0:00:00","(5074) Mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes. Compra ágil: 1057402-1027-COT24","COMPRA ÁGIL, Según I.T. 265, de 10-06-2024, del Dpto. de Equipos Médicos, por mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes, pertenecientes al Servicio de Pabellones Quirúrgicos.  Orden de Compra código: 1057402-7266-AG24 dirigida a JOHNSON Y JOHNSON DE CHILE S A  Encargado de Recepción de Conformidad del Servicio: Jefe de Planificación SDO: fono: 612293103 - correo: esteban.cardenas@redsalud.gob.cl  Encargado Técnico: Jefe Dpto. Equipos Médicos: fono: 612293018 - correo: dagoberto.hernandez@redsalud.gob.cl  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE: fono: 612453660 - correo: frank.silva@redsalud.gob.cl  Encargado de Compra: Jefe Unidad de Compra Operaciones: fono 612293243 - correo: francisco.aguilar@redsalud.gob.cl","En Proceso","Compra Agil","CLP",1340523,0,0,254699.37,1595222.37,254699.37,1340523,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","OTROS GRD","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","JOHNSON Y JOHNSON DE CHILE S A","93.745.000-1","VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS","1.0","Región Metropolitana de Santiago","Servicios de producción y fabricación industrial","Servicios de apoyo o soporte a la fabricación","Servicios de mantenimiento y reparación de equipo de fabricación",73152101,"Servicio de mantenimiento de equipo de fabricación","Servicio de mantenimiento de equipo de fabricación","Mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes.  Incluye:  * Juego mantenimiento para TRS  * Juego reparación para pestaña guía para TRS * Engranaje cónico en espiral Z20/Z19",1,"Unidad","CLP",1340523,0,0,NA,1340523,1340523,"1057402-1027-COT24","(5074) Mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes.","El Hospital requiere realizar mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes. DEBE incluir  * Juego mantenimiento para TRS  * Juego reparación para pestaña guía para TRS * Engranaje cónico en espiral Z20/Z19  Se solicita a los oferentes adjuntar Certificado de Servicio técnico autorizado, indicar plazos de entrega de los trabajos, garantía de la mantención.   Adjuntar datos contacto y datos bancarios para pago en formulario adjunto.","09-07-2024 0:00:00","12-07-2024 0:00:00",1650000,"Mantenimiento correctivo a pieza de mano, serie 12727, motor TRS y accesorios marca Synthes.  Incluye:  * Juego mantenimiento para TRS  * Juego reparación para pestaña guía para TRS * Engranaje cónico en espiral Z20/Z19",73152101,"Servicio de mantenimiento de equipo de fabricación",1,"JOHNSON Y JOHNSON DE CHILE S A","93.745.000-1","JJ - Franquicia: Depuy Synthes - SERVICIO TECNICO. PLAZO DE ENTREGA 07 DIAS HABILES UNA VEZ RECEPCIONADA LA OC. GARANTÍA: 03 MESES (SOLO DE PARTES REMPLAZADAS)",1340523,1340523,1340523,0,1595222,"SI"
"7","1057402-6900-AG24","09-07-2024 0:00:00","(MIS)ESCRITORIO/INSUMOS VARIOS/P. JULIO","1057402-989-COT24  INSUMOS VARIOS REQUERIDOS POR UHCIP, UPC Y PREVENCION RIESGO. UHCIP: CARTONEROS, REPUESTOS CART., CINTA DOBLE CONT, PISTOLA SILICONA. LAPIZ COLORES, REGLA METALICA. PREVENCION: 200 LAMINAS TERMOLAMINAR CARTA UPC: 100 LAMINAS TERMOLAMINAR OFICIO","Recepcion Conforme","Compra Agil","CLP",381170,0,0,72422.3,453592.3,579378.4,381170,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","JOSE HERMINIO BARRIENTOS BARRIENTOS","7.560.370-3","VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| COMERCIO DE ARTICULOS DE SUMINISTROS DE OFICINAS Y ARTICULOS DE ESCRIT| ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.","4.0","Región de Magallanes y de la Antártica","Productos químicos industriales","Compuestos y mezclas","Compuestos inorgánicos",12352310,"Siliconas","Siliconas","PISTOLA SILICONA PARA BARRAS DE 7MM",10,"Unidad","CLP",3990,0,0,NA,39900,39900,"1057402-989-COT24","(MIS) ARTICULOS DE ESCRITORIO VARIOS","ARTICULOS DE ESCRITORIO VARIOS DESCRITOS EN CADA LÍNEA ** PLAZO ENTREGA 1 DÍAS PUESTO EN EL HOSPITAL **VALOR ESTIMADO INCLUYE FLETE E IVA ** ADJUNTAR COTIZACION CON CARACTERISTICA TECNICA DE CADA PRODUCTO.","28-06-2024 0:00:00","01-07-2024 0:00:00",650000,"PISTOLA SILICONA PARA BARRAS DE 7MM",12352310,"Siliconas",10,"JOSE HERMINIO BARRIENTOS BARRIENTOS","7.560.370-3","SE ADJUNTA COTIZACIÓN DETALLADA DE TODO LO SOLICITADO. ENTREGA EN 1 DÍA. CONSULTAS AL 991221982",3990,39900,448962,0,534264,"SI"
"8","1057402-6907-AG24","03-07-2024 0:00:00","(5076) Panel Genético de Colopatías  /  T. Contreras C.","Orden de Compra generada por invitación a compra ágil desde Id  1057402-969-COT24, por el servicio de Panel Genético  de Colopatías en beneficio de paciente institucional identificado como T. Contreras C.","Recepcion Conforme","Compra Agil","CLP",603000,0,0,0,603000,0,603000,"30 dias contra la recepcion conforme de la factura","Otra Forma de Despacho","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","BIOTECNOLOGIA E INNOVACION SPA","76.214.197-3","Asesorías en estudios genéticos","2.0","Región Metropolitana de Santiago","Salud, servicios sanitarios y alimentación","Medicina y servicios de salud","Especialidades médicas",85121602,"Servicios de nefrología","Servicios de nefrología","Panel genético  de ciliopatias + gen CFTR / T. Contreras C.",1,"Unidad no definida","CLP",603000,0,0,NA,603000,603000,"1057402-969-COT24","PANEL GENETICO DE CILIOPATIAS","El hospital Clinico de Magallanes requiere la compra de PANEL GENETICO DE CILIOPATIAS, en la comuna de Vitacura, cuidad de Santiago, en beneficios de paciente institucional, lactante sibilante recurrente (9 episodio) y diarrea frecuente sin compromiso ponderal, se realizo dos tes de sudor, 1 limítrofe 56 mmol/L y otro positivo 68mmol/L. por alta sospecha se debe realizar secuenciación de CFTR para confirma diagnostico.","24-06-2024 0:00:00","26-06-2024 0:00:00",591000,"Panel genético INVITAE de ciliopatias + gen CFTR",85121602,"Servicios de nefrología",1,"BIOTECNOLOGIA E INNOVACION SPA","76.214.197-3","Invitae Ciliopathies Panel",603000,603000,603000,0,603000,"SI"
"9","1057402-7341-AG24","22-07-2024 0:00:00","(MIS) PROYECTO MEL 2024/DISPENSADORES AGUA","ID 1057402-1047-COT24. PROYECTO MEL 2024.   PROYECTOS N° 5 - 16 - 20 - 40","Recepcion Conforme","Compra Agil","CLP",355715,0,0,67585.85,423300.85,135171.7,355715,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","QUIJADA Y QUIJADA ELEMENTO PATAGONIA LIMITADA","76.007.296-6","ENVASADO DE AGUA MINERAL NATURAL, DE MANANTIAL Y POTABLE PREPARADA","4.0","Región de Magallanes y de la Antártica","Maquinarias, equipos y suministros para la industria de servicios","Equipos para servicios de alimentación institucional","Distribuidores automáticos de comida y bebida",48101711,"Dispensadores de agua embotellada","Dispensadores de agua embotellada","DISPENSADOR DE AGUA FRÍO-CALOR. PARA SOBREMESA. PARA BIDONES DE 20 LITROS.",1,"Unidad","CLP",56723,0,0,NA,56723,56723,"1057402-1047-COT24","MIS/PROYECTO MEL 2024/DISPENSADOR DE AGUA FRÍO-CALOR","SE REQUIERE LA COMPRA DE DISPENSADORES DE AGUA FRÍO-CALOR PARA SOBREMESA Y PISO.  **ADJUNTAR FICHA TÉCNICA CON IMAGEN DE LO COTIZADO** **PUESTO EN HOSPITAL, HASTA 3 DÍAS HÁBILES DESDE EMITIDA LA O/C**","12-07-2024 0:00:00","15-07-2024 0:00:00",5e+05,"DISPENSADOR DE AGUA FRÍO-CALOR. CON VENTILADOR Y PEDESTAL HASTA EL SUELO. PARA BIDONES DE 20 LITROS.   **ADJUNTAR FICHA TÉCNICA CON IMAGEN DE LO COTIZADO**",48101711,"Dispensadores de agua embotellada",4,"QUIJADA Y QUIJADA ELEMENTO PATAGONIA LIMITADA","76.007.296-6","La siguiente oferta corresponde a dispensadores frío calor pedestal y sobre mesa, los cuales serán despachados gratis a hospital clínico, en un plazo de 1 día hábil. Se adjunta fichas técnicas",74748,298992,355715,0,423300,"SI"
"10","1085944-3-AG24","22-07-2024 0:00:00","(MIS) [AFICHES PROYECTOS GORE]","1085944-5-COT24  AFICHES DIFUSION PROYECTO GORE -100 AFICHES PROYECTO N°2 [EEI]   -150 AFICHES PROYECTO N°6 [EPTR]  FORMA DE PAGO: CONTADO CONTRA RECEPCION CONFORME FACTURACION : EMITIR FACTURA  POR CADA ITEM  CONTACTO :612-293063","Recepcion Conforme","Compra Agil","CLP",35000,0,0,0,35000,0,35000,"Otro, Ver Instrucciones","Despachar a Dirección de envío","FONDOS EXTRAPRESUPUESTARIOS","Fondos Extrapresupuestarios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","RASMUSSEN HNOS LTDA","79.866.170-1","IMPRESION DE LIBROS| VENTA AL POR MAYOR DE LIBROS| VENTA AL POR MENOR DE ARTICULOS DE PAPELERIA Y ESCRITORIO EN COMERCIOS| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES","4.0","Región de Magallanes y de la Antártica","Servicios editoriales, de diseño, publicidad, gráficos y artistas","Servicios de impresión y reproducción","Impresión",82121505,"Impresión promocional o publicitaria","Impresión promocional o publicitaria","AFICHES (PROYECTO 2 EEI) TAMAÑO 14*21 CMS, A TODO COLOR, PAPEL BOND 75 GRS. (SE ADJUNTA IMAGEN REFERENCIA)",100,"Unidad","CLP",140,0,0,NA,14000,14000,"1085944-5-COT24","(MIS) AFICHES (PROYECTO GORE)","AFICHES TAMAÑO 14X21CM, A TODO COLOR, PAPEL BOND 75 GRS. (SE ADJUNTAN DISEÑO REFERENCIA)**PLAZO ENTREGA 1 DÍA **VALOR ESTIMADO DEBE  INCLUIR FLETE E IVA **ADJUNTAR COTIZACION.","12-07-2024 0:00:00","15-07-2024 0:00:00",35000,"AFICHES (PROYECTO 6 EPTR) TAMAÑO 14*21 CMS, A TODO COLOR, PAPEL BOND 75 GRS. (SE ADJUNTA IMAGEN REFERENCIA)",82121505,"Impresión promocional o publicitaria",150,"RASMUSSEN HNOS LTDA","79.866.170-1","Afiches.",140,21000,35000,0,35000,"SI"
