codigoOC,FechaEnvioOC,NombreOC,DescripcionOC,MontoNetoOC,DescuentosOC,CargosOC,ImpuestosOC,MontoTotalOC,UnidadCompra,Proveedor,ProveedorRUT,ActividadProveedor,TamanoProveedor,RegionProveedor,CodigoProductoONU,DescripcionItem,CantidadItem,UnidadMedida,MontoNetoItem,MontoTotalItem,CodigoCotizacion,DescripcionCotizacion,CodigoProductoCotizadoONU,RUTProveedorCotizacion,DetalleCotizacion
1058012-6724-AG25,4/10/2025,URGENTE FARMACIA DOSIS UNITARIA ABRIL / BENRALIZUMAB 30 MG JGA,PEDIDO URGENTE FARMACIA DOSIS UNITARIA ABRIL. COMPRA AGIL DESPACHO AEREO CARGO DEL PROVEEDOR. 1058012-191-COT25,$3.189.516,000,000,606008,3795524,Fármarcos,ASTRAZENECA SA,76.447.530-5,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS,Grande,Región Metropolitana de Santiago,85121902,BENRALIZUMAB 30 MG JERINGA PRELLENADA,2,Unidad,1.594.758,3189516,1058012-191-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE BENRALIZUMAB 30 MG JGA. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (UD), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN CUALQUIER INFORMACIÓN SOLICITADA PARA ESTA COTIZACIÓN.",85121902,76.447.530-5,"Fármaco innovador y/o referente. Venc > 1 año, despacho 2-3 días hábiles desde aceptación de orden de compra. Flete incluido. Cuando genere su OC, el rut de compra y dirección de despacho deben poseer autorización sanitaria vigente."
1058012-1778-AG24,22/7/2024,(FAR) COMITÉ FARMACIA JULIO / RILPIVIRINA - CABOTEGRAVIR 900-600 MG FA,PEDIDO COMITÉ FARMACIA JULIO. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE 72 HORAS HÁBILES SEGÚN COTIZACIÓN. REF 1058012-497-COT24.,$1.518.000,000,000,288420,1806420,Fármarcos,GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,85.025.700-0,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Grande,Región Metropolitana de Santiago,85121902,RILPIRIVINA - CABOTEGRAVIR 900-600 MG FA,3,Frasco Ampolla,506.000,1518000,1058012-497-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE RILPIRIVINA - CABOTEGRAVIR 900-600 MG FA. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (FA), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",85121902,85.025.700-0,"Validez de la oferta 90 días. Facturación mínima $250.000.- neto. Vencimiento superior a doce meses, ENTREGA: 72Horas hábiles una vez aceptada la orden de compra. Condiciones Comerciales, Flete incluido. contacto gsk.ordenesdecompra@gsk.com"
1058012-61-AG24,1/12/2024,COMITÉ FARMACIA N°10 AÑO 2023/ RILPIRIVINA - CABOTEGRAVIR 900-600 MG FA,PEDIDO COMITÉ FARMACIA N°10 AÑO 2023. COMPRA AGIL. FLETE AEREO CARGO DEL PROVEEDOR 1058012-15-COT24,$1.518.000,000,000,288420,1806420,Fármarcos,GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA,85.025.700-0,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Grande,Región Metropolitana de Santiago,51191905,RILPIRIVINA - CABOTEGRAVIR 900-600 MG FA,3,Frasco Ampolla,506.000,1518000,1058012-15-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE CABOTEGRAVIR/RILPIVIRINA 600/900 MF FA. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51191905,85.025.700-0,"Validez de la oferta 90 días. Facturación mínima $250.000.- neto. Vencimiento superior a doce meses, ENTREGA: 48 Horas hábiles una vez aceptada la orden de compra. Políticas de Devolución punto d), Flete incluido. contacto gsk.ordenesdecompra@gsk.com"
1058012-7475-AG25,17/6/2025,FALTA CENABAST FARMACIA AMBULATORIA JUNIO / DENOSUMAB 60 MG ML SOL INY,PEDIDO FALTA CENABAST FARMACIA AMBULATORIA JUNIO. ADQUISICIÓN VÍA COMPRA ÁGIL. DESPACHO 7 DÍAS CARGO DEL PROVEEDOR SEGÚN COTIZACIÓN. ZGEN 100004663. REF 1058012-408-COT25.,$564.448,000,000,107245,671693,Fármarcos,SCM PHARMA SPA,77.337.544-5,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES,Mediana,Región Metropolitana de Santiago,85121902,DENOSUMAB 60 MG ML SOLUCIÓN INYECTABLE,2,Frasco Ampolla,282.224,564448,1058012-408-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE DENOSUMAB 60 MG ML SOL INY. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (UD), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO Y FECHA ESPECIFICA DE ENTREGA (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",85121902,77.337.544-5,"Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 7 dias- monto mínimo de despacho $ 100.000.- Cotización valida por 15 días."
1058012-7755-AG25,21/7/2025,FALTA CENABAST (SUSPENDIDO) JULIO / DENOSUMAB 60 MG ML SOL INY,PEDIDO FALTA CENABAST (SUSPENDIDO) JULIO. ADQUISICIÓN VÍA COMPRA ÁGIL. DESPACHO 7 DÍAS CARGO DEL PROVEEDOR SEGÚN COTIZACIÓN. ZGEN 100004663. REF 1058012-465-COT25.,$1.128.896,000,000,214490,1343386,Fármarcos,SCM PHARMA SPA,77.337.544-5,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES,Mediana,Región Metropolitana de Santiago,85121902,DENOSUMAB 60 MG ML SOLUCIÓN INYECTABLE,4,Unidad,282.224,1128896,1058012-465-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE DENOSUMAB 60 MG ML SOL INY. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (UD), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",85121902,77.337.544-5,"Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 7 dias- monto mínimo de despacho $ 100.000.- Cotización valida por 15 días."
1058012-1513-AG24,19/6/2024,FARMACIA DOSIS UNITARIA/ IBUPROFENO 10 MG/2 ML AMP,"PEDIDO FARMACIA DOSIS UNITARIA.COMPRA AGIL DESPACHO AÉREO, CARGO DEL PROVEEDOR. 1058012-420-COT24",$1.580.000,000,000,300200,1880200,Fármarcos,innovative medicines s.a . agencia en chile,59.144.890-0,venta al por menor de productos medicinales,Mediana,Región Metropolitana de Santiago,51142106,IBUPROFENO 10 MG/2 ML AMP,8,Ampolla,197.500,1580000,1058012-420-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE IBUPROFENO 10 MG/2 ML AMP . INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO y ESPECIFICAR FECHA DE ENTREGA, INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51142106,59.144.890-0,"PRODUCTO PEDEA, autorizado en Chile bajo Resolución Exenta N° 33509 (adjunta), unidades en Chile disponibles para despacho inmediato, vencimiento 31.12.2025."
1058012-862-AG24,4/11/2024,"COMITÉ FARMACIA / CARBOXIMALTOSA DE HIERRO SOLUCIÓN INYECTABLE 500 MG/10 ML, AMP",PEDIDO COMITÉ FARMACIA. COMPRA ÁGIL DESPACHO AÉREO CARGO DEL PROVEEDOR. 1058012-269-COT24,$141.500,000,000,26885,168385,Fármarcos,LABORATORIOS ANDROMACO S.A.,76.237.266-5,FARMACEUTICO,Grande,Región Metropolitana de Santiago,51131514,"CARBOXIMALTOSA DE HIERRO SOLUCIÓN INYECTABLE 500 MG/10 ML, AMP",1,Unidad,141.500,141500,1058012-269-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE CARBOXIMALTOSA DE HIERRO SOLUCIÓN INYECTABLE 500 MG/10 ML, AMP. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51131514,76.237.266-5,"22100383 FERINJECT SOLUCION INYECTABLE 500/10 ML - 500MG DE HIERRO COMO CARBOXIMALTOSA DE HIERRO - FRASCO DE SOLUCION INYECTABLE REG. ISP F-20175/23, FECHA DE VCTO 30-06-2026, DESPACHO EN 02 D?AS MONTO M?NIMO DE DESPACHO $300.000 NETO"
1058012-7375-AG25,6/10/2025,"COMPRA ALTERNATIVA (7225) FALTA CENABAST/ RISPERIDONA 37,5 MG FA POLVO LIOFILIZADO",PEDIDO COMPRA ALTERNATIVA(7225). COMPRA AGIL. DESPACHO A CARGO DEL PROVEEDOR. 1058012-380-COT25,$1.300.000,000,000,247000,1547000,Fármarcos,LABORATORIO C&D PHARMA LIMITADA,76.394.174-4,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS,Mediana,Región Metropolitana de Santiago,51141704,"RISPERIDONA 37,5 MG FA POLVO LIOFILIZADO",10,Frasco Ampolla,130.000,1300000,1058012-380-COT25,"EL HCM REQUIERE RISPERIDONA 37,5 MG FA POLVO LIOFILIZADO. INDICAR FECHA DE ENTREGA EN BODEGA HCM, FACTOR EMPAQUE, FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO. POSTULAR SOLO SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. COMPRA SUJETA A MULTA DE NO RESPETAR FECHA ESTIMADA DE ENTREGA. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $1, O QUE SOBREPASE EL VALOR DEL MONTO ESTIMADO O NO CUMPLA CON LOS DIAS Y DOC. SOLICITADOS.",51141704,76.394.174-4,"RISTRIONA RISPERIDONA POLVO PARA SUSPENSIÓN INYECTABLE DE LIBERACIÓN PROLONGADA 37,5 mg CON SOLVENTE REG ISP F-27100/22 FABRICANTE: LABORATORIO PHARMATHEN S.A., GRECIA PERIODO DE EFICACIA, 24 MESES"
1058012-4803-AG25,31/3/2025,FARMACIA AMBULATORIA MARZO / FLUTICASONA 50 MCG INH,PEDIDO FARMACIA AMBULATORIA MARZO. ADQUISICIÓN VÍA COMPRA ÁGIL. DESPACHO 48 HRS. SEGÚN COTIZACIÓN. REF 1058012-161-COT25.,$2.100.030,000,000,399006,2499036,Fármarcos,FARMACIAS PEDRO ITURRIETA MELENDEZ E.I.R.L.,76.764.759-K,,Pequeña,Región Metropolitana de Santiago,51181722,FLUTICASONA 50 MCG INHALADOR BUCAL (ASMA BRONQUIAL),30,Unidad,70.001,2100030,1058012-161-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE FLUTICASONA 50 MCG INHALADOR BUCAL (ASMA BRONQUIAL). INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (UD), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",51181722,76.764.759-K,BREXOVENT LF INHBUC 50 MCG X 120 DSS vence 4/26 despacho GRATIS 48 horas una vez aceptada al OC se adjunta ficha fono: 992657125
1058012-67-AG24,1/12/2024,COMITÉ FARMACIA/ RILUZOL 5 MG/ML JBE,PEDIDO COMITÉ FARMACIA. COMPRA AGIL. FLETE CARGO DEL PROVEEDOR. COORDINAR CON RODRIGO BARRIA AL 61-2293466 1058012-20-COT24,$271.060,000,000,51501,322561,Fármarcos,LABORATORIO CELNOVA CHILE SPA,76.926.592-9,Farmacéutico,Pequeña,Región Metropolitana de Santiago,51142801,RILUZOL 5 MG/ML JBE,4,Frasco,67.765,271060,1058012-20-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE RILUZOL 5 MG/ML JBE. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51142801,76.926.592-9,"TEGLUTIK SUSPENSIÓN ORAL 5 mg/mL (RILUZOL). Presentación: solución oral 5 mg/ml, frasco 300 ml. Vencimiento: 31-07-2025. Tipo de traslado: Aéreo, temperatura ambiente, despacho en 48 horas habiles. Contamos con Stock inmediato."
